sid,study_id,org_site_id,lon,lat
014_fraley_s019,014_fraley,xctf,171.5725,-43.01083333333333
014_fraley_s020,014_fraley,brk,171.59833333333333,-43.005833333333335
014_fraley_s021,014_fraley,bs,171.81,-43.00416666666666
014_fraley_s022,014_fraley,lfs,171.81,-43.00083333333333
014_fraley_s023,014_fraley,lhr,171.7425,-42.99583333333333
014_fraley_s024,014_fraley,las,171.79166666666666,-42.994166666666665
014_fraley_s025,014_fraley,ps,171.79333333333332,-42.9925
014_fraley_s026,014_fraley,uas,171.79583333333332,-42.990833333333335
014_fraley_s027,014_fraley,uhr,171.745,-42.985
014_fraley_s028,014_fraley,es,171.605,-42.97333333333333
014_fraley_s029,014_fraley,brm,171.56,-42.92916666666667
018_gonzalez-bergonzoni_s001,018_gonzalez-bergonzoni,alsted_forest,9.453333333333333,55.84
018_gonzalez-bergonzoni_s002,018_gonzalez-bergonzoni,storkesing_forest,10.005833333333333,56.1875
018_gonzalez-bergonzoni_s003,018_gonzalez-bergonzoni,granslev_forest,9.895,56.29666666666667
018_gonzalez-bergonzoni_s004,018_gonzalez-bergonzoni,skader_forest,10.193333333333333,56.369166666666665
019_kaymak_s001,019_kaymak,upstream_2,37.12083333333334,40.31166666666667
019_kaymak_s002,019_kaymak,upstream_1,37.259166666666665,40.3175
019_kaymak_s003,019_kaymak,downstream_stie,36.7,40.388333333333335
020_ceneviva-bastos_s001,020_ceneviva-bastos,stream1_ctrl_before,-49.263333333333335,-20.99083333333333
020_ceneviva-bastos_s002,020_ceneviva-bastos,stream2_ctrl_before,-49.4125,-20.47083333333333
020_ceneviva-bastos_s003,020_ceneviva-bastos,stream3_ctrl_before,-49.358333333333334,-20.439166666666665
021_taylor_s002,021_taylor,upper_zambezi,24.5225,-17.541666666666664
023_majdi_s001,023_majdi,furlbach,8.715833333333334,51.895
025_kautza_s009,025_kautza,r4,-83,39.939166666666665
025_kautza_s010,025_kautza,r3,-83.02416666666667,39.9925
025_kautza_s011,025_kautza,r2,-83.02333333333333,40.02666666666667
025_kautza_s012,025_kautza,r1,-83.11083333333333,40.09
026_ruhi_s001,026_ruhi,con,0.744166666666667,41.167500000000004
026_ruhi_s002,026_ruhi,s4,0.795,41.21083333333333
026_ruhi_s003,026_ruhi,s3,0.89,41.235
026_ruhi_s004,026_ruhi,s2,0.911666666666667,41.248333333333335
026_ruhi_s005,026_ruhi,m4,0.71,41.24916666666667
026_ruhi_s006,026_ruhi,s1,0.9425,41.25666666666667
026_ruhi_s007,026_ruhi,m3,0.76,41.288333333333334
026_ruhi_s008,026_ruhi,m2,0.774166666666667,41.295833333333334
026_ruhi_s009,026_ruhi,m1,0.881666666666667,41.33
028_jardine_s001,028_jardine,buxton_river,148.00166666666667,-42.26083333333333
028_jardine_s002,028_jardine,meredith_river,148.06083333333333,-42.115
028_jardine_s003,028_jardine,wye_river,148.06333333333333,-42.068333333333335
